"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  9 ; prob =  0.67",0.138121546961326,99.7856836690956,0.214316330904418,2.77777777777778,0.263157894736842,0.170532060027285,95.5555555555556,1,723,35,16296,2,8,9,2880
"long_cut =  9 ; prob =  0.68",0.138121546961326,99.7856836690956,0.214316330904418,2.77777777777778,0.263157894736842,0.170532060027285,95.5555555555556,1,723,35,16296,2,8,9,2880
"long_cut =  9 ; prob =  0.69",0.138121546961326,99.804053640316,0.195946359684041,3.03030303030303,0.264200792602378,0.170706725844998,95.5731457050718,1,723,32,16299,2,8,9,2880
"long_cut =  9 ; prob =  0.7",0.138121546961326,99.804053640316,0.195946359684041,3.03030303030303,0.264200792602378,0.170706725844998,95.5731457050718,1,723,32,16299,2,8,9,2880
"long_cut =  9 ; prob =  0.71",0.138121546961326,99.8101769640561,0.189823035943915,3.125,0.264550264550265,0.170765027322404,95.5790090882439,1,723,31,16300,2,8,9,2880
"long_cut =  9 ; prob =  0.72",0.138121546961326,99.8101769640561,0.189823035943915,3.125,0.264550264550265,0.170765027322404,95.5790090882439,1,723,31,16300,2,8,9,2880
"long_cut =  9 ; prob =  0.73",0.138121546961326,99.8346702590166,0.165329740983411,3.57142857142857,0.265957446808511,0.170998632010944,95.6024626209323,1,723,27,16304,2,8,9,2880
"long_cut =  9 ; prob =  0.74",0.138121546961326,99.8346702590166,0.165329740983411,3.57142857142857,0.265957446808511,0.170998632010944,95.6024626209323,1,723,27,16304,2,8,9,2880
"long_cut =  9 ; prob =  0.75",0.138121546961326,99.8407935827567,0.159206417243285,3.7037037037037,0.266311584553928,0.17105713308245,95.6083260041044,1,723,26,16305,2,8,9,2880
"long_cut =  9 ; prob =  0.76",0.138121546961326,99.8407935827567,0.159206417243285,3.7037037037037,0.266311584553928,0.17105713308245,95.6083260041044,1,723,26,16305,2,8,9,2880
"long_cut =  9 ; prob =  0.77",0.138121546961326,99.8407935827567,0.159206417243285,3.7037037037037,0.266311584553928,0.17105713308245,95.6083260041044,1,723,26,16305,2,8,9,2880
"long_cut =  9 ; prob =  0.78",0.138121546961326,99.8407935827567,0.159206417243285,3.7037037037037,0.266311584553928,0.17105713308245,95.6083260041044,1,723,26,16305,2,8,9,2880
"long_cut =  9 ; prob =  0.79",0,99.8407935827567,0.159206417243285,0,NA,NA,95.6024626209323,0,724,26,16305,2,8,9,2880
"long_cut =  9 ; prob =  0.8",0,99.8407935827567,0.159206417243285,0,NA,NA,95.6024626209323,0,724,26,16305,2,8,9,2880
"long_cut =  9 ; prob =  0.81",0,99.8407935827567,0.159206417243285,0,NA,NA,95.6024626209323,0,724,26,16305,2,8,9,2880
"long_cut =  9 ; prob =  0.82",0,99.8407935827567,0.159206417243285,0,NA,NA,95.6024626209323,0,724,26,16305,2,8,9,2880
"long_cut =  9 ; prob =  0.83",0,99.8469169064969,0.153083093503148,0,NA,NA,95.6083260041044,0,724,25,16306,2,8,9,2880
"long_cut =  9 ; prob =  0.84",0,99.8591635539771,0.140836446022896,0,NA,NA,95.6200527704486,0,724,23,16308,2,8,9,2880
"long_cut =  9 ; prob =  0.85",0,99.8652868777172,0.13471312228277,0,NA,NA,95.6259161536206,0,724,22,16309,2,8,9,2880
"long_cut =  9 ; prob =  0.86",0,99.8714102014574,0.128589798542644,0,NA,NA,95.6317795367927,0,724,21,16310,2,8,9,2880
"long_cut =  9 ; prob =  0.87",0,99.8714102014574,0.128589798542644,0,NA,NA,95.6317795367927,0,724,21,16310,2,8,9,2880
"long_cut =  9 ; prob =  0.88",0,99.8836568489376,0.116343151062392,0,NA,NA,95.6435063031369,0,724,19,16312,2,8,9,2880
"long_cut =  9 ; prob =  0.89",0,99.8959034964179,0.104096503582141,0,NA,NA,95.6552330694811,0,724,17,16314,2,8,9,2880
"long_cut =  9 ; prob =  0.9",0,99.8959034964179,0.104096503582141,0,NA,NA,95.6552330694811,0,724,17,16314,2,8,9,2880
"long_cut =  9 ; prob =  0.91",0,99.8959034964179,0.104096503582141,0,NA,NA,95.6552330694811,0,724,17,16314,2,8,9,2880
"long_cut =  9 ; prob =  0.92",0,99.8959034964179,0.104096503582141,0,NA,NA,95.6552330694811,0,724,17,16314,2,8,9,2880
"long_cut =  9 ; prob =  0.93",0,99.8959034964179,0.104096503582141,0,NA,NA,95.6552330694811,0,724,17,16314,2,8,9,2880
"long_cut =  9 ; prob =  0.94",0,99.902026820158,0.0979731798420147,0,NA,NA,95.6610964526532,0,724,16,16315,2,8,9,2880
"long_cut =  9 ; prob =  0.95",0,99.902026820158,0.0979731798420147,0,NA,NA,95.6610964526532,0,724,16,16315,2,8,9,2880
"long_cut =  9 ; prob =  0.96",0,99.9081501438981,0.0918498561018888,0,NA,NA,95.6669598358253,0,724,15,16316,2,8,9,2880
"long_cut =  9 ; prob =  0.97",0,99.9081501438981,0.0918498561018888,0,NA,NA,95.6669598358253,0,724,15,16316,2,8,9,2880
"long_cut =  9 ; prob =  0.98",0,99.9081501438981,0.0918498561018888,0,NA,NA,95.6669598358253,0,724,15,16316,2,8,9,2880
"long_cut =  9 ; prob =  0.99",0,99.9081501438981,0.0918498561018888,0,NA,NA,95.6669598358253,0,724,15,16316,2,8,9,2880
"long_cut =  9 ; prob =  1",0,100,0,NA,NA,NA,95.7549105834066,0,724,0,16331,2,8,9,2880
"long_cut =  9 ; prob =  random_rate",1.91780821917808,0.976684555754323,2.33154442456768,3.45679012345679,2.46696035242291,170.676691729323,93.6742857142857,14,716,391,16379,2,8,9,2880
"long_cut =  9 ; prob =  random_50",49.7260273972603,0.490280262373286,50.9719737626714,4.07361687801594,7.53033917643398,407.446538754121,49.0571428571429,363,367,8548,8222,2,8,9,2880
