"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  9 ; prob =  0.23",97.5993016150153,9.50938824954573,90.4906117504543,37.4476637079216,54.1273299443234,73.8685166831847,40.9519358105476,4472,110,7470,785,2,8,9,2880
"long_cut =  9 ; prob =  0.24",96.8790920995199,11.8110236220472,88.1889763779528,37.8786585886168,54.4629163854978,73.8676074150497,42.1749629975851,4439,143,7280,975,2,8,9,2880
"long_cut =  9 ; prob =  0.25",96.3334788302052,13.8219261053907,86.1780738946093,38.2893823733518,54.7982619490999,73.9214898177921,43.2733504712939,4414,168,7114,1141,2,8,9,2880
"long_cut =  9 ; prob =  0.26",95.7223919685727,15.5178679588128,84.4821320411872,38.6091549295775,55.024463680843,73.8682295877122,44.1458284645945,4386,196,6974,1281,2,8,9,2880
"long_cut =  9 ; prob =  0.27",94.9585333915321,18.7522713506965,81.2477286493035,39.3470790378007,55.6393861892583,74.0318519022664,45.9531043078601,4351,231,6707,1548,2,8,9,2880
"long_cut =  9 ; prob =  0.28",94.4783937145351,21.5990308903695,78.4009691096305,40.0796222571984,56.2829097055191,74.3073912595695,47.6123704915479,4329,253,6472,1783,2,8,9,2880
"long_cut =  9 ; prob =  0.29",93.9109559144478,23.1859479103574,76.8140520896426,40.4265313791808,56.5217391304348,74.261355791799,48.4303186102672,4303,279,6341,1914,2,8,9,2880
"long_cut =  9 ; prob =  0.3",93.3435181143605,24.2398546335554,75.7601453664446,40.6134270249739,56.6002779064382,74.1016667244187,48.9055075173327,4277,305,6254,2001,2,8,9,2880
"long_cut =  9 ; prob =  0.31",92.9288520296814,25.6087219866747,74.3912780133253,40.9462448312338,56.845337427408,74.1114630835103,49.6377658331386,4258,324,6141,2114,2,8,9,2880
"long_cut =  9 ; prob =  0.32",92.4268878219118,26.480920654149,73.519079345851,41.1005434782609,56.8990998253392,73.9557138865605,50.0194749552076,4235,347,6069,2186,2,8,9,2880
"long_cut =  9 ; prob =  0.33",92.0340462680052,27.4379164142944,72.5620835857056,41.3147839717841,57.0288728108729,73.8917119327142,50.4946638622731,4217,365,5990,2265,2,8,9,2880
"long_cut =  9 ; prob =  0.34",91.5757311217809,28.2253179890975,71.7746820109025,41.4583539175971,57.0767870502618,73.7460016169285,50.8374230739269,4196,386,5925,2330,2,8,9,2880
"long_cut =  9 ; prob =  0.35",91.1392405063291,28.7946698970321,71.2053301029679,41.5357071812214,57.0647717955726,73.567754210415,51.047752590169,4176,406,5878,2377,2,8,9,2880
"long_cut =  9 ; prob =  0.36",90.6809253601048,29.6547546941248,70.3452453058752,41.7084922706284,57.1369636963696,73.4358430540827,51.4372516943211,4155,427,5807,2448,2,8,9,2880
"long_cut =  9 ; prob =  0.37",90.244434744653,30.4058146577832,69.5941853422168,41.8522267206478,57.184345180473,73.2948099829836,51.7644309418088,4135,447,5745,2510,2,8,9,2880
"long_cut =  9 ; prob =  0.38",89.6988214753383,30.9751665657177,69.0248334342823,41.9045676998369,57.1230020847811,73.0381006539665,51.9358105476357,4110,472,5698,2557,2,8,9,2880
"long_cut =  9 ; prob =  0.39",88.8913138367525,31.7383403997577,68.2616596002423,41.9550885867326,57.0048985304409,72.6387501783421,52.1383500817948,4073,509,5635,2620,2,8,9,2880
"long_cut =  9 ; prob =  0.4",88.4329986905282,32.7437916414294,67.2562083585706,42.1907538525614,57.1267446778514,72.533295145353,52.6213289709434,4052,530,5552,2703,2,8,9,2880
"long_cut =  9 ; prob =  0.41",87.6909646442601,33.6402180496669,66.3597819503331,42.3125526537489,57.0819718710044,72.2038527889592,52.932928254265,4018,564,5478,2777,2,8,9,2880
"long_cut =  9 ; prob =  0.42",87.276298559581,34.3670502725621,65.6329497274379,42.4657534246575,57.1326523323095,72.0670391061452,53.2523175196697,3999,583,5418,2837,2,8,9,2880
"long_cut =  9 ; prob =  0.43",86.5124399825404,35.2998182919443,64.7001817080557,42.6007522837184,57.0893641535249,71.7258350522925,53.5794967671574,3964,618,5341,2914,2,8,9,2880
